"GEO_ID","NAICS2017","YEAR","NAICS2017_F","GEO_ID_F","NAICS2017_LABEL","NAME","EMP","EMP_IMP","ESTAB","FIRM","PAYANN","PAYANN_IMP","PAYQTR1","RCPTOT","RCPTOT_IMP"
"id","2017 NAICS code","Year","2017 NAICS Footnote","Geo Footnote","Meaning of NAICS code","Geographic Area Name","Number of paid employees for pay period including March 12","Range indicating percent of total employees imputed","Number of establishments","Number of firms","Annual payroll ($1,000)","Range indicating percent of total annual payroll imputed","First-quarter payroll ($1,000)","Value of sales, shipments, receipts, revenue, or business done ($1,000)","Range indicating percent of total sales, value of shipments, or revenue imputed"
"0100000US","453910","2017","null","null","Pet and pet supplies stores","United States","119711","N","9966","5075","2561347","N","647078","18268815","N"
"0100000US","45392","2017","null","null","Art dealers","United States","19635","N","4907","4612","1069536","N","238589","9013799","N"
"0100000US","453920","2017","null","null","Art dealers","United States","19635","N","4907","4612","1069536","N","238589","9013799","N"
"0100000US","45393","2017","null","null","Manufactured (mobile) home dealers","United States","10701","N","2007","1318","490560","N","114590","5637875","N"
"0100000US","453930","2017","null","null","Manufactured (mobile) home dealers","United States","10701","N","2007","1318","490560","N","114590","5637875","N"
"0100000US","45399","2017","null","null","All other miscellaneous store retailers","United States","148020","N","31655","25603","3813162","N","858757","29483901","N"
"0100000US","453991","2017","null","null","Tobacco stores","United States","49655","N","12193","9745","947373","N","227025","10838849","N"
"0100000US","453998","2017","null","null","All other miscellaneous store retailers (except tobacco stores)","United States","98365","N","19462","15867","2865789","N","631732","18645052","N"
"0100000US","454","2017","null","null","Nonstore retailers","United States","765304","N","77871","70375","34742301","N","8469371","586639153","N"
"0100000US","4541","2017","null","null","Electronic shopping and mail-order houses","United States","534983","N","41854","40174","25639679","N","6226571","522463420","N"
"0100000US","45411","2017","null","null","Electronic shopping and mail-order houses","United States","534983","N","41854","40174","25639679","N","6226571","522463420","N"
"0100000US","454110","2017","null","null","Electronic shopping and mail-order houses","United States","534983","N","41854","40174","25639679","N","6226571","522463420","N"
"0100000US","4542","2017","null","null","Vending machine operators","United States","40910","N","3742","3187","1350957","N","333018","7253683","N"
"0100000US","45421","2017","null","null","Vending machine operators","United States","40910","N","3742","3187","1350957","N","333018","7253683","N"
"0100000US","454210","2017","null","null","Vending machine operators","United States","40910","N","3742","3187","1350957","N","333018","7253683","N"
"0100000US","4543","2017","null","null","Direct selling establishments","United States","189411","N","32275","27073","7751665","N","1909782","56922050","N"
"0100000US","45431","2017","null","null","Fuel dealers","United States","75110","N","8013","4629","3446467","N","886448","30956137","N"
"0100000US","454310","2017","null","null","Fuel dealers","United States","75110","N","8013","4629","3446467","N","886448","30956137","N"
"0100000US","45439","2017","null","null","Other direct selling establishments","United States","114301","N","24262","22451","4305198","N","1023334","25965913","N"
"0100000US","454390","2017","null","null","Other direct selling establishments","United States","114301","N","24262","22451","4305198","N","1023334","25965913","N"
